frameID,CellID,x-axis,y-axis,time
88,101,764,691,48
158,101,759,713,56
181,101,765,266,64
191,101,764,271,72
0,102,778,725,8
1,102,773,706,16
6,102,773,706,24
53,102,773,706,32
57,102,764,691,40
83,102,759,713,48
88,102,764,691,56
158,102,759,713,64
181,102,765,266,72
191,102,764,271,80
0,103,771,727,8
53,103,773,706,16
57,103,764,691,24
83,103,759,713,32
88,103,764,691,40
158,103,759,713,48
181,103,765,266,56
191,103,764,271,64
0,104,403,749,8
1,104,410,740,16
6,104,410,740,24
28,104,414,488,32
46,104,418,366,40
86,104,419,477,48
91,104,414,488,56
98,104,419,477,64
107,104,419,477,72
110,104,419,477,80
133,104,419,477,88
135,104,414,488,96
147,104,414,488,104
158,104,414,488,112
164,104,414,488,120
169,104,414,488,128
172,104,419,477,136
198,104,428,495,144
0,105,820,756,8
1,105,823,750,16
6,105,823,750,24
57,105,823,750,32
109,105,819,156,40
0,106,1202,757,8
1,106,1199,755,16
6,106,1199,755,24
90,106,1197,987,32
98,106,1203,365,40
128,106,1213,397,48
0,107,1208,758,8
1,107,1206,760,16
6,107,1206,760,24
90,107,1197,987,32
98,107,1203,365,40
128,107,1213,397,48
0,108,1198,762,8
1,108,1200,761,16
6,108,1200,761,24
90,108,1197,987,32
98,108,1203,365,40
128,108,1213,397,48
0,109,1208,763,8
1,109,1206,760,16
6,109,1206,760,24
90,109,1197,987,32
98,109,1203,365,40
128,109,1213,397,48
0,110,1200,767,8
1,110,1200,761,16
6,110,1200,761,24
90,110,1197,987,32
98,110,1203,365,40
128,110,1213,397,48
0,111,1206,766,8
1,111,1206,760,16
6,111,1206,760,24
90,111,1197,987,32
98,111,1203,365,40
128,111,1213,397,48
0,112,1240,772,8
1,112,1250,766,16
6,112,1250,766,24
95,112,1250,766,32
0,113,1257,776,8
1,113,1250,766,16
6,113,1250,766,24
95,113,1250,766,32
0,114,250,788,8
1,114,241,790,16
6,114,241,790,24
84,114,241,790,32
103,114,241,790,40
124,114,241,790,48
0,115,58,789,8
1,115,57,787,16
6,115,57,787,24
19,115,60,628,32
43,115,70,437,40
53,115,80,426,48
74,115,74,424,56
87,115,80,426,64
89,115,80,430,72
95,115,76,436,80
102,115,80,430,88
103,115,76,436,96
105,115,76,436,104
127,115,80,426,112
128,115,78,433,120
131,115,76,436,128
133,115,76,436,136
148,115,80,426,144
150,115,80,426,152
156,115,76,436,160
188,115,70,437,168
193,115,76,436,176
0,116,871,804,8
1,116,869,796,16
6,116,869,796,24
37,116,862,445,32
123,116,862,445,40
173,116,862,445,48
0,117,255,804,8
1,117,258,797,16
6,117,258,797,24
83,117,258,797,32
103,117,261,776,40
118,117,258,797,48
0,118,247,801,8
84,118,241,790,16
103,118,241,790,24
124,118,241,790,32
0,119,706,838,8
1,119,714,839,16
6,119,714,839,24
83,119,717,826,32
84,119,714,839,40
103,119,714,839,48
115,119,713,419,56
0,120,945,907,8
0,121,958,906,8
0,122,958,910,8
0,123,944,920,8
0,124,923,915,8
1,124,933,910,16
6,124,933,910,24
158,124,933,910,32
0,125,307,965,8
1,125,308,958,16
6,125,308,958,24
53,125,308,958,32
57,125,308,958,40
62,125,308,958,48
66,125,308,958,56
68,125,308,958,64
83,125,308,958,72
0,126,575,968,8
0,127,572,973,8
0,128,554,977,8
1,128,555,972,16
6,128,555,972,24
69,128,555,972,32
0,129,1184,988,8
1,129,1186,986,16
6,129,1186,986,24
64,129,1194,981,32
66,129,1187,981,40
72,129,1186,986,48
80,129,1194,981,56
83,129,1194,981,64
84,129,1194,981,72
98,129,1203,365,80
128,129,1213,397,88
0,130,1191,988,8
1,130,1189,988,16
6,130,1189,988,24
13,130,1199,755,32
90,130,1197,987,40
98,130,1203,365,48
128,130,1213,397,56
0,131,1191,994,8
1,131,1192,993,16
6,131,1192,993,24
13,131,1199,755,32
90,131,1197,987,40
98,131,1203,365,48
128,131,1213,397,56
0,132,1184,995,8
1,132,1192,993,16
6,132,1192,993,24
13,132,1199,755,32
90,132,1197,987,40
98,132,1203,365,48
128,132,1213,397,56
